Date,España,Italia
2020-01-22 00:00:00+00:00,0,0
2020-01-23 00:00:00+00:00,0,0
2020-01-24 00:00:00+00:00,0,0
2020-01-25 00:00:00+00:00,0,0
2020-01-26 00:00:00+00:00,0,0
2020-01-27 00:00:00+00:00,0,0
2020-01-28 00:00:00+00:00,0,0
2020-01-29 00:00:00+00:00,0,0
2020-01-30 00:00:00+00:00,0,0
2020-01-31 00:00:00+00:00,0,2
2020-02-01 00:00:00+00:00,1,2
2020-02-02 00:00:00+00:00,1,2
2020-02-03 00:00:00+00:00,1,2
2020-02-04 00:00:00+00:00,1,2
2020-02-05 00:00:00+00:00,1,2
2020-02-06 00:00:00+00:00,1,2
2020-02-07 00:00:00+00:00,1,3
2020-02-08 00:00:00+00:00,1,3
2020-02-09 00:00:00+00:00,2,3
2020-02-10 00:00:00+00:00,2,3
2020-02-11 00:00:00+00:00,2,3
2020-02-12 00:00:00+00:00,2,3
2020-02-13 00:00:00+00:00,2,3
2020-02-14 00:00:00+00:00,2,3
2020-02-15 00:00:00+00:00,2,3
2020-02-16 00:00:00+00:00,2,3
2020-02-17 00:00:00+00:00,2,3
2020-02-18 00:00:00+00:00,2,3
2020-02-19 00:00:00+00:00,2,3
2020-02-20 00:00:00+00:00,2,3
2020-02-21 00:00:00+00:00,2,20
2020-02-22 00:00:00+00:00,2,62
2020-02-23 00:00:00+00:00,2,155
2020-02-24 00:00:00+00:00,2,229
2020-02-25 00:00:00+00:00,6,322
2020-02-26 00:00:00+00:00,13,453
2020-02-27 00:00:00+00:00,15,655
2020-02-28 00:00:00+00:00,32,888
2020-02-29 00:00:00+00:00,45,1128
2020-03-01 00:00:00+00:00,84,1694
2020-03-02 00:00:00+00:00,120,2036
2020-03-03 00:00:00+00:00,165,2502
2020-03-04 00:00:00+00:00,222,3089
2020-03-05 00:00:00+00:00,259,3858
2020-03-06 00:00:00+00:00,400,4636
2020-03-07 00:00:00+00:00,500,5883
2020-03-08 00:00:00+00:00,673,7375
2020-03-09 00:00:00+00:00,1073,9172
2020-03-10 00:00:00+00:00,1695,10149
2020-03-11 00:00:00+00:00,2277,12462
2020-03-12 00:00:00+00:00,2277,15113
2020-03-13 00:00:00+00:00,5232,17660
2020-03-14 00:00:00+00:00,6391,21157
2020-03-15 00:00:00+00:00,7798,24747
2020-03-16 00:00:00+00:00,9942,27980
2020-03-17 00:00:00+00:00,11748,31506
2020-03-18 00:00:00+00:00,13910,35713
2020-03-19 00:00:00+00:00,17963,41035
2020-03-20 00:00:00+00:00,20410,47021
2020-03-21 00:00:00+00:00,25374,53578
2020-03-22 00:00:00+00:00,28768,59138
2020-03-23 00:00:00+00:00,35136,63927
2020-03-24 00:00:00+00:00,39885,69176
2020-03-25 00:00:00+00:00,49515,74386
2020-03-26 00:00:00+00:00,57786,80589
2020-03-27 00:00:00+00:00,65719,86498
2020-03-28 00:00:00+00:00,73235,92472
2020-03-29 00:00:00+00:00,80110,97689
2020-03-30 00:00:00+00:00,87956,101739
2020-03-31 00:00:00+00:00,95923,105792
2020-04-01 00:00:00+00:00,104118,110574
2020-04-02 00:00:00+00:00,112065,115242
2020-04-03 00:00:00+00:00,119199,119827
2020-04-04 00:00:00+00:00,126168,124632
2020-04-05 00:00:00+00:00,131646,128948
2020-04-06 00:00:00+00:00,136675,132547
2020-04-07 00:00:00+00:00,141942,135586
2020-04-08 00:00:00+00:00,148220,139422
2020-04-09 00:00:00+00:00,153222,143626
2020-04-10 00:00:00+00:00,158273,147577
2020-04-11 00:00:00+00:00,163027,152271
2020-04-12 00:00:00+00:00,166831,156363
2020-04-13 00:00:00+00:00,170099,159516
2020-04-14 00:00:00+00:00,172541,162488
2020-04-15 00:00:00+00:00,177644,165155
2020-04-16 00:00:00+00:00,184948,168941
2020-04-17 00:00:00+00:00,190839,172434
2020-04-18 00:00:00+00:00,191726,175925
2020-04-19 00:00:00+00:00,198674,178972
2020-04-20 00:00:00+00:00,200210,181228
2020-04-21 00:00:00+00:00,204178,183957
2020-04-22 00:00:00+00:00,208389,187327
2020-04-23 00:00:00+00:00,213024,189973
2020-04-24 00:00:00+00:00,202990,192994
2020-04-25 00:00:00+00:00,205905,195351
2020-04-26 00:00:00+00:00,207634,197675
2020-04-27 00:00:00+00:00,209465,199414
2020-04-28 00:00:00+00:00,210773,201505
2020-04-29 00:00:00+00:00,212917,203591
2020-04-30 00:00:00+00:00,213435,205463
2020-05-01 00:00:00+00:00,215216,207428
2020-05-02 00:00:00+00:00,216582,209328
2020-05-03 00:00:00+00:00,217466,210717
2020-05-04 00:00:00+00:00,218011,211938
2020-05-05 00:00:00+00:00,219329,213013
2020-05-06 00:00:00+00:00,220325,214457
2020-05-07 00:00:00+00:00,221447,215858
2020-05-08 00:00:00+00:00,222857,217185
2020-05-09 00:00:00+00:00,223578,218268
2020-05-10 00:00:00+00:00,224350,219070
2020-05-11 00:00:00+00:00,227436,219814
2020-05-12 00:00:00+00:00,228030,221216
2020-05-13 00:00:00+00:00,228691,222104
2020-05-14 00:00:00+00:00,229540,223096
2020-05-15 00:00:00+00:00,230183,223885
2020-05-16 00:00:00+00:00,230698,224760
2020-05-17 00:00:00+00:00,230698,225435
2020-05-18 00:00:00+00:00,231606,225886
2020-05-19 00:00:00+00:00,232037,226699
2020-05-20 00:00:00+00:00,232555,227364
2020-05-21 00:00:00+00:00,233037,228006
2020-05-22 00:00:00+00:00,234824,228658
2020-05-23 00:00:00+00:00,235290,229327
2020-05-24 00:00:00+00:00,235772,229858
2020-05-25 00:00:00+00:00,235400,230158
2020-05-26 00:00:00+00:00,236259,230555
2020-05-27 00:00:00+00:00,236259,231139
2020-05-28 00:00:00+00:00,237906,231732
2020-05-29 00:00:00+00:00,238564,232248
2020-05-30 00:00:00+00:00,239228,232664
2020-05-31 00:00:00+00:00,239479,232997
2020-06-01 00:00:00+00:00,239638,233197
2020-06-02 00:00:00+00:00,239932,233515
2020-06-03 00:00:00+00:00,240326,233836
2020-06-04 00:00:00+00:00,240660,234013
2020-06-05 00:00:00+00:00,240978,234531
2020-06-06 00:00:00+00:00,241310,234801
2020-06-07 00:00:00+00:00,241550,234998
2020-06-08 00:00:00+00:00,241717,235278
2020-06-09 00:00:00+00:00,241966,235561
2020-06-10 00:00:00+00:00,242280,235763
2020-06-11 00:00:00+00:00,242707,236142
2020-06-12 00:00:00+00:00,243209,236305
2020-06-13 00:00:00+00:00,243605,236651
2020-06-14 00:00:00+00:00,243928,236989
2020-06-15 00:00:00+00:00,244109,237290
2020-06-16 00:00:00+00:00,244328,237500
2020-06-17 00:00:00+00:00,244683,237828
2020-06-18 00:00:00+00:00,245268,238159
2020-06-19 00:00:00+00:00,245575,238011
2020-06-20 00:00:00+00:00,245938,238275
2020-06-21 00:00:00+00:00,246272,238499
2020-06-22 00:00:00+00:00,246504,238720
2020-06-23 00:00:00+00:00,246752,238833
2020-06-24 00:00:00+00:00,247086,239410
2020-06-25 00:00:00+00:00,247486,239706
2020-06-26 00:00:00+00:00,247905,239961
2020-06-27 00:00:00+00:00,248469,240136
2020-06-28 00:00:00+00:00,248770,240310
2020-06-29 00:00:00+00:00,248970,240436
2020-06-30 00:00:00+00:00,249271,240578
2020-07-01 00:00:00+00:00,249659,240760
2020-07-02 00:00:00+00:00,250103,240961
2020-07-03 00:00:00+00:00,250545,241184
2020-07-04 00:00:00+00:00,250545,241419
2020-07-05 00:00:00+00:00,250545,241611
2020-07-06 00:00:00+00:00,251789,241819
2020-07-07 00:00:00+00:00,252130,241956
2020-07-08 00:00:00+00:00,252513,242149
2020-07-09 00:00:00+00:00,253056,242363
2020-07-10 00:00:00+00:00,253908,242639
2020-07-11 00:00:00+00:00,253908,242827
2020-07-12 00:00:00+00:00,253908,243061
2020-07-13 00:00:00+00:00,255953,243230
2020-07-14 00:00:00+00:00,256619,243344
2020-07-15 00:00:00+00:00,257494,243506
2020-07-16 00:00:00+00:00,258855,243736
2020-07-17 00:00:00+00:00,260255,243967
2020-07-18 00:00:00+00:00,260255,244216
2020-07-19 00:00:00+00:00,260255,244434
2020-07-20 00:00:00+00:00,264836,244624
2020-07-21 00:00:00+00:00,266194,244752
2020-07-22 00:00:00+00:00,267551,245032
2020-07-23 00:00:00+00:00,270166,245338
2020-07-24 00:00:00+00:00,272421,245590
2020-07-25 00:00:00+00:00,272421,245864
2020-07-26 00:00:00+00:00,272421,246118
2020-07-27 00:00:00+00:00,278782,246286
2020-07-28 00:00:00+00:00,280610,246488
2020-07-29 00:00:00+00:00,282641,246776
2020-07-30 00:00:00+00:00,285430,247158
2020-07-31 00:00:00+00:00,288522,247537
2020-08-01 00:00:00+00:00,288522,247832
2020-08-02 00:00:00+00:00,288522,248070
2020-08-03 00:00:00+00:00,297054,248229
2020-08-04 00:00:00+00:00,302814,248419
2020-08-05 00:00:00+00:00,305767,248803
2020-08-06 00:00:00+00:00,309855,249204
2020-08-07 00:00:00+00:00,314362,249756
2020-08-08 00:00:00+00:00,314362,250103
2020-08-09 00:00:00+00:00,314362,250566
2020-08-10 00:00:00+00:00,322980,250825
2020-08-11 00:00:00+00:00,326612,251237
2020-08-12 00:00:00+00:00,329784,251713
2020-08-13 00:00:00+00:00,337334,252235
2020-08-14 00:00:00+00:00,342813,252809
2020-08-15 00:00:00+00:00,342813,253438
2020-08-16 00:00:00+00:00,342813,253915
2020-08-17 00:00:00+00:00,359082,254235
2020-08-18 00:00:00+00:00,364196,254636
2020-08-19 00:00:00+00:00,370867,255278
2020-08-20 00:00:00+00:00,377906,256118
2020-08-21 00:00:00+00:00,386054,257065
2020-08-22 00:00:00+00:00,386054,258136
2020-08-23 00:00:00+00:00,386054,259345
2020-08-24 00:00:00+00:00,405436,260298
2020-08-25 00:00:00+00:00,412553,261174
2020-08-26 00:00:00+00:00,419849,262540
2020-08-27 00:00:00+00:00,429507,263949
2020-08-28 00:00:00+00:00,439286,265409
2020-08-29 00:00:00+00:00,439286,266853
2020-08-30 00:00:00+00:00,439286,268218
2020-08-31 00:00:00+00:00,462858,269214
2020-09-01 00:00:00+00:00,470973,270189
2020-09-02 00:00:00+00:00,479554,271515
2020-09-03 00:00:00+00:00,488513,272912
2020-09-04 00:00:00+00:00,498989,274644
2020-09-05 00:00:00+00:00,498989,276338
2020-09-06 00:00:00+00:00,498989,277634
2020-09-07 00:00:00+00:00,525549,278784
2020-09-08 00:00:00+00:00,534513,280153
2020-09-09 00:00:00+00:00,543379,281583
2020-09-10 00:00:00+00:00,554143,283180
2020-09-11 00:00:00+00:00,566326,284796
2020-09-12 00:00:00+00:00,566326,286297
2020-09-13 00:00:00+00:00,566326,287753
2020-09-14 00:00:00+00:00,593730,288761
2020-09-15 00:00:00+00:00,603167,289990
2020-09-16 00:00:00+00:00,614360,291442
2020-09-17 00:00:00+00:00,625651,293025
2020-09-18 00:00:00+00:00,640040,294932
2020-09-19 00:00:00+00:00,640040,296569
2020-09-20 00:00:00+00:00,640040,298156
2020-09-21 00:00:00+00:00,671468,299506
2020-09-22 00:00:00+00:00,682267,300897
2020-09-23 00:00:00+00:00,693556,302537
2020-09-24 00:00:00+00:00,704209,304323
